País;Categoría;año;Valor
Sudán del Sur;69 PRODUCTOS CERÁMICOS;2013;
Sudán del Sur;70 VIDRIO Y SUS MANUFACTURAS;2013;
Sudán del Sur;71 PIEDRA, METAL. PRECIO., JOYER.;2013;
Sudán del Sur;72 FUNDICIÓN, HIERRO Y ACERO;2013;
Sudán del Sur;73 MANUF. DE FUNDIC., HIER./ACERO;2013;
Sudán del Sur;74 COBRE Y SUS MANUFACTURAS;2013;
Sudán del Sur;75 NÍQUEL Y SUS MANUFACTURAS;2013;
Sudán del Sur;76 ALUMINIO Y SUS MANUFACTURAS;2013;
Sudán del Sur;78 PLOMO Y SUS MANUFACTURAS;2013;
Sudán del Sur;79 CINC Y SUS MANUFACTURAS;2013;
Sudán del Sur;80 ESTAÑO Y SUS MANUFACTURAS;2013;
Sudán del Sur;81 OTROS METAL. COMUNES, CERMETS;2013;
Sudán del Sur;82 HERRAMIEN. Y CUCHILL. METÁLIC.;2013;
Sudán del Sur;83 MANUFACT. DIVERSAS DE METALES;2013;
Sudán del Sur;84 MÁQUINAS Y APARATOS MECÁNICOS;2013;7167,9
Sudán del Sur;85 APARATOS Y MATERIAL ELÉCTRICOS;2013;
Sudán del Sur;86 VEHÍCULOS, MATERIAL FERROVIARI;2013;
Sudán del Sur;87 VEHÍCULOS AUTOMÓVILES, TRACTOR;2013;
Sudán del Sur;88 AERONAVES, VEHÍCULOS ESPACIALE;2013;
Sudán del Sur;89 BARCOS Y EMBARCACIONES;2013;
Sudán del Sur;90 APARATOS ÓPTICOS, MEDIDA, MÉDI;2013;
Sudán del Sur;91 RELOJERÍA;2013;173,81
Sudán del Sur;92 INSTRUMENTOS MUSICALES;2013;
Sudán del Sur;93 ARMAS Y MUNICIONES, ACCESORIOS;2013;
Sudán del Sur;94 MUEBLES, SILLAS, LÁMPARAS;2013;
Sudán del Sur;95 JUGUETES, JUEGOS, ARTÍC. DEPOR;2013;
Sudán del Sur;96 MANUFACTURAS DIVERSAS;2013;
Sudán del Sur;97 OBJETOS DE ARTE, ANTIGUEDADES;2013;
Sudán del Sur;98 CONJUNT. INDUST., REGL. 840/96;2013;
Sudán del Sur;99 CONJUNT. DE OTROS PRODUCTOS;2013;
Sudán;00 COMERCIO CONFIDENCIAL;2013;
Sudán;01 ANIMALES VIVOS;2013;3418,62
Sudán;02 CARNE Y DESPOJOS COMESTIBLES;2013;
Sudán;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;
Sudán;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;
Sudán;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
Sudán;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
Sudán;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;
Sudán;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;
Sudán;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;
Sudán;10 CEREALES;2013;
